title,url,content,author,time,source,readMoreUrl
"
PM Modi visits site of Morbi bridge collapse that killed 135 people
",https://www.inshorts.com/en/news/pm-modi-visits-site-of-morbi-bridge-collapse-that-killed-135-people-1667302223454,"PM Narendra Modi on Tuesday visited the site of the Morbi bridge collapse which killed at least 135 people and injured around 100 others. Videos and photos from the site showed PM surveying the rescue work and meeting people carrying out the relief operations. He emphasised ensuring that all possible assistance was reaching the affected persons, PMO said.",Sakshita Khosla,2022-11-01T11:30:23.000Z,,
"
PM Modi meets those injured in Morbi bridge collapse at civil hospital
",https://www.inshorts.com/en/news/pm-modi-meets-those-injured-in-morbi-bridge-collapse-at-civil-hospital-1667303976965,PM Narendra Modi on Tuesday visited Morbi civil hospital where over 100 people injured in the suspension bridge collapse are admitted. At least 135 people were killed in the incident. Pictures showed PM Modi enquiring about a patient's health at the hospital. The hospital was painted overnight for PM Modi's visit. ,Deepika Bhatt,2022-11-01T11:59:36.000Z,Hindustan Times,https://www.hindustantimes.com/india-news/morbi-bridge-tragedy-pm-modi-visits-accident-site-meets-those-involved-in-rescue-op-101667299508242-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"
England hand NZ their first defeat in T20 World Cup 2022, go 2nd on points table
",https://www.inshorts.com/en/news/england-hand-nz-their-first-defeat-in-t20-world-cup-2022-go-2nd-on-points-table-1667303135325,"England defeated New Zealand by 20 runs in their T20 World Cup 2022 Super 12 Group 1 match on Tuesday. With this, New Zealand suffered their first defeat in the ongoing tournament. New Zealand, England and Australia have accumulated five points each. New Zealand are on top of the table with superior net run-rate (NRR), while England are now second. ",Anmol Sharma,2022-11-01T11:45:35.000Z,T20 World Cup,https://www.t20worldcup.com/match/100456?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"
Jos Buttler breaks record for smashing most runs for England in T20I cricket history
",https://www.inshorts.com/en/news/jos-buttler-breaks-record-for-smashing-most-runs-for-england-in-t20i-cricket-history-1667301455650,"England white-ball captain Jos Buttler on Tuesday broke the record for scoring most runs for England in T20I cricket history. With his 73(47) against New Zealand in their T20 World Cup 2022 match on Tuesday, Buttler took his tally of runs in T20I cricket to 2,468. He overtook the previous record of 2,458 runs held by ex-England captain Eoin Morgan.",Anmol Sharma,2022-11-01T11:17:35.000Z,T20 World Cup,https://www.t20worldcup.com/match/100456?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"
Shubman Gill smashes highest score by an Indian in a T20 knockout match
",https://www.inshorts.com/en/news/shubman-gill-smashes-highest-score-by-an-indian-in-a-t20-knockout-match-1667303435934,Punjab opener Shubman Gill on Tuesday smashed his first-ever hundred in T20 cricket. The 23-year-old reached the three-figure mark off 49 deliveries and went on to score 126(55) against Karnataka in quarter-final match of Syed Mushtaq Ali Trophy (SMAT) 2022. Shubman's 126 is also the highest score by an Indian in a T20 knockout match.,Anmol Sharma,2022-11-01T11:50:35.000Z,News18,https://www.news18.com/cricketnext/amp/news/shubman-gill-reaffirms-faith-showed-by-selectors-with-blistering-ton-gets-warm-reaction-from-punjab-dressing-room-watch-6285079.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"
What if I couldn't go to Harvard?: Co-founder as boAt becomes Harvard case study
",https://www.inshorts.com/en/news/what-if-i-couldnt-go-to-harvard-cofounder-as-boat-becomes-harvard-case-study-1667301376833,"Electronics maker boAt's Co-founder Aman Gupta on Tuesday took to Instagram to share the news that Harvard Business School has written a case study on boAt. ""Harvard Nahee Jaa sake to Kya hua...apna kaam aur apnee company pahucha dee (What if I couldn't go to Harvard? I sent my company and work to Harvard),"" he wrote.",Pragya Swastik,2022-11-01T11:16:16.000Z,Instagram,https://www.instagram.com/p/CkaXcPjOwR2/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"
Income Tax Dept raids Cartier, Rolex retailer Kapoor Watch Company: Report
",https://www.inshorts.com/en/news/income-tax-dept-raids-cartier-rolex-retailer-kapoor-watch-company-report-1667302976402,"The Income Tax Department is conducting searches at Kapoor Watch Company, the Indian retailer of Audemars Piguet, Bvlgari, Cartier, Omega and Tag Heuer brands, as per a report. Sources said that around 20 premises were covered in this search which started on Monday morning. All the showrooms and premises of its promotors were covered in this search, the report added.",Ridham Gambhir,2022-11-01T11:42:56.000Z,Hindustan Times,https://www.hindustantimes.com/cities/delhi-news/income-tax-department-raids-rolex-retailer-kapoor-watch-company-101667287351740-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"
New pic of SRK & Deepika Padukone from 'Pathaan' sets leaks online
",https://www.inshorts.com/en/news/new-pic-of-srk-deepika-padukone-from-pathaan-sets-leaks-online-1667303024273,"A new picture of Shah Rukh Khan and Deepika Padukone has leaked from the sets of their upcoming film 'Pathaan', which is going viral on social media platforms. Reportedly, the makers are planning to release the teaser of 'Pathaan' on November 2 to mark Shah Rukh's 57th birthday. The film, directed by Siddharth Anand, will release on January 25, 2023.",Kameshwari,2022-11-01T11:43:44.000Z,News18,https://www.news18.com/amp/news/movies/ahead-of-shah-rukh-khans-birthday-new-pathaan-pic-of-srk-and-deepika-padukone-leaks-online-6284449.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"
Kartik Aaryan, Kiara Advani's pics from 'Satyaprem...' shoot get leaked
",https://www.inshorts.com/en/news/kartik-aaryan-kiara-advanis-pics-from-satyaprem-shoot-get-leaked-1667302624512,"Leaked pics of Kartik Aaryan and Kiara Advani from their shoot for 'Satyaprem Ki Katha' have surfaced. Both of them are currently shooting in Ahmedabad. In one of the leaked pictures, Kiara can be seen sitting behind Kartik on a scooter. After 'Bhool Bhulaiyaa 2', this will be the second time when Kiara and Kartik will be working together.",Amartya Sharma,2022-11-01T11:37:04.000Z,Bollywood Hungama,https://www.bollywoodhungama.com/amp/news/features/leaked-photos-kartik-aaryan-kiara-advani-ride-bike-ahmedabad-satyaprem-ki-katha-shoot/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"
Sh*t version of my film: Kolkata filmmaker on T-Series' 'Mister Mummy'
",https://www.inshorts.com/en/news/sht-version-of-my-film-kolkata-filmmaker-on-tseries-mister-mummy-1667301151666,"Kolkata filmmaker Akash Chatterjee has demanded T-Series to credit him for Riteish Deshmukh's film, titled 'Mister Mummy'. In a Facebook post, Akash Chatterjee alleged that T-Series ""stole"" the script of his film and came up with their ""sh*t version"" of it. He also shared that his story and concept are registered with Screenwriters Association, Mumbai.",Kameshwari,2022-11-01T11:12:31.000Z,Hindustan Times,https://www.hindustantimes.com/entertainment/bollywood/kolkata-filmmaker-claims-riteish-deshmukh-s-mister-mummy-is-sh-version-of-his-original-film-101667292251805-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
