text,summary,readMoreUrl
"Edtech giant Byju’s has agreed to revoke its decision to shut down its Trivandrum office operations after Byju Raveendran, CEO and founder of Byju's, met Kerala Chief Minister Pinarayi Vajayan, and the company's vice president Sri Jayadev met labour department officials. The development comes a week after a group of employees met Kerala labour minister V Sivankutty alleging that Byju’s was forcing more than 170 staff to resign.

According to a post shared on Facebook, the world’s most valued edtech company has also agreed to take back employees who were asked to resign last month, in a meeting on November 2.

The development was verified by Vineeth Chandran, secretary of Prathidhwani, a welfare organisation of techies, who was present at the meeting.

""Following a detailed discussion between the Hon’ble Chief Minister of Kerala, Shri P. Vijayan, and Byju Raveendran, Founder of BYJU'S, we have decided to continue operations of our TVM product development centre. As a result, our 140 associates will continue to operate from this centre,"" said Byju's spokesperson on Moneycontrol's queries on the development.

The company has also said that an official communication will be sent to all employees regarding the decisions made during this meeting, the Facebook post read.

The edtech company has also assured employees that they will not face any retaliation from management as they join back, the post added.

Byju's, a week back, was planning to exit the Kerala office in the Carnival building of Technopark, according to a LinkedIn post by TechnoparkToday, a community digital media platform for IT professionals. Not to miss, Byju's chief Raveendran hails from the small coastal village of Azhikode in Kerala.

More than 170 employees who work at the Technopark office, after a push from the management to resign, approached Prathidhwani seeking help. Byju's claimed that the number of employees affected due to the restructuring was 140.

Prathidhwani requested Sivankutty to step in and help employees reach a settlement with the organisation.","Edtech startup BYJU'S has decided to continue its office operations in Kerala's Trivandrum, revoking the layoff of 140 employees who operate from that centre. The development came after a detailed discussion between Kerala CM Pinarayi Vijayan and the startup's Founder Byju Raveendran. A week back, BYJU'S was planning to shut down the Kerala office.",https://www.moneycontrol.com/news/business/startup/byjus-gives-in-rolls-back-decision-to-shut-kerala-operations-9435061.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"Bollywood megastar Shah Rukh Khan turned 57 on November 2. The actor's birthday is no less than a festival for his fans. Social media platforms have been flooded with adorable wishes for Shah Rukh.

On SRK's 57th birthday, his Chak De! India co-star Vidya Malavade recalled working with the superstar. Even after 15 years of its release, the dialogues, characters and iconic scenes of Chak De! India have been etched in people’s hearts.

In an exclusive interview with The Free Press Journal, Vidya recalled sharing screen space with him and also opened up about watching a film with SRK.

Advertisement Advertisement

ALSO READ Hottest pics of Shah Rukh Khan as he turns 57

""I remember when he came to Australia for Chak De! India shoot, his film Don had just released. He came and asked us 'tum ladkiyon ne meri film nahi dekhi abhi tak aur yaha sirf shoot kar rahe ho?' He then took all of us out for the film. Shah Rukh took us out partying and he also enjoyed being with us in our hotel,"" Vidya shared.

She recalled, ""I actually watched the film sitting next to him and it was such a phenomenal moment for me because he was right in front of me on screen and there he was sitting right next to me at the same time. I was like 'Okay, am I dreaming?'""

Revealing how he helped her during the film's shoot, Vidya said, ""He'll always be coach Kabir Khan for us. I wish him a beautiful birthday full of surprises, happiness and love. Thank you for always being so amazing, on camera and off camera. I still remember how much you helped all of us just by your presence and by telling us what to do and what not to do in front of the camera during the shoot. It was a fantastic learning experience for each one of us. We called him 'papa' when he was not around because we all felt he was a sweet father figure to all of us, just guiding us through the beautiful film that we've made together. Thank you for all the incredibly beautiful memories that make me smile every time.""

(To receive our E-paper on whatsapp daily, please click here. To receive it on Telegram, please click here. We permit sharing of the paper's PDF on WhatsApp and other social media platforms.)

Published on: Wednesday, November 02, 2022, 02:19 PM IST","Actress Vidya Malavade recalled that during the Australia schedule of 'Chak De! India', Shah Rukh Khan took the whole team out to watch his film 'Don'. ""I actually watched the film sitting next to him,"" she shared, adding that he also took all of them out to party. She remembered that they called him 'papa' when he was not around.",https://www.freepressjournal.in/amp/entertainment/bollywood/shah-rukh-khan-watched-don-with-all-of-us-in-australia-during-chak-de-india-shoot-says-vidya-malavade?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"Pakistan legend Wasim Akram has responded to comments by former Indian cricketer Gautam Gambhir, terming Babar Azam a selfish captain. Without supporting or opposing Gambhir’s views, Akram took a neutral stand and stated that everyone is entitled to have an opinion.

While on commentary during the Pakistan-Netherlands game in the ongoing ICC Men’s T20 World Cup 2022, Gambhir hit out at Babar over his reluctance to move down the batting order despite his struggles with the willow.

Ad

During an interaction on A Sports, a viewer asked Akram for his views on Gambhir being critical of Babar’s leadership. The former left-arm pacer commented:

“That’s his opinion. Gautam Gambhir, himself being a successful captain in IPL, winning twice for KKR… Of course, he is one of the top players of his time. Everybody, I suppose, has a right to give their opinion. And that’s his opinion.”

While terming Babar as a selfish leader during the Pakistan-Netherlands game, Gambhir said:

""In my opinion, first, you think about your team instead of yourself; if nothing goes according to your plan, you should have sent Fakhar Zaman up the batting order. This is called selfishness; as a captain, it is easy to be selfish.

Ad

""It is easy for Babar and Rizwan to open the innings for Pakistan and create so many records. If you want to be a leader, you have to think about your team,"" Gambhir added.

The Pakistan captain and opening batter has been in the line of fire owing to his poor form. In three Super 12 matches so far, he has registered scores of 0, 4 and 4.

Pakistan’s hopes of qualification for the semi-finals of the T20 World Cup are hanging by a thread. They are placed fifth in Group 2, following losses to India and Zimbabwe. They beat the Netherlands by six wickets in their previous match to keep their hopes alive.

AB de Villiers backs under-fire Babar Azam

Ad

Amid all the criticism over his lack of runs in the T20 World Cup, Babar has found support from South African legend AB de Villiers. Speaking on his YouTube channel, the former Proteas captain hailed the Pakistan cricketer and said:

""Babar Azam is an amazing player. I watched him play for the first time, saying this boy can play. He is a fantastic addition to Pakistan's success, and it's great to see young generations taking ownership.”

Khabis Insan @IamUmarJav



#BabarAzam Ab De Villiers about Babar Azam and Pakistan Batting Line Up

Pakistan's remaining two Super 12 games will be against South Africa on November 3 and Bangladesh on November 6.

Get the Latest updates & News on T20 World Cup & Follow us for Live Scores, Schedule, and Squads

Ad

Quick Links

Edited by

Renin Wilben Albert","Sharing his opinion on Gautam Gambhir criticising Babar Azam's captaincy, ex-Pakistan captain Wasim Akram said, ""That is his opinion...Everybody, I suppose, has a right to give their opinion."" Talking about Babar's captaincy during Pakistan's T20 World Cup 2022 match against Netherlands, Gautam Gambhir had said, ""[He] should have sent Fakhar Zaman up the...order. This is called selfishness.""",https://www.sportskeeda.com/amp/cricket-news/t20-world-cup-2022-opinion-wasim-akram-responds-gautam-gambhir-s-statement-terming-babar-azam-selfish?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"Karnataka believes in converting calamity into opportunity: Basavaraj Bommai at investors meet Speaking at the Global Investors Meet 2022, Bommai said that “in Karnataka, along with the recovery of COVID pandemic, “recovery of the economy is there to see”. The Chief Minister further said that the future of not only Karnataka, India and the world but the future of human development is happening in the state. TN National Desk Updated Nov 2, 2022 | 02:55 PM IST

Basavaraj Bommai Photo : PTI

Bengaluru: Karnataka Chief Minister Basavaraj Bommai on Wednesday said that his government believes in converting calamity into an opportunity.

Advertising Advertising

Speaking at the Global Investors Meet 2022 , Bommai said that “in Karnataka, along with the recovery of COVID pandemic, “recovery of the economy is there to see”.

“For the first time after Covid, such a large investor meet is happening in any of the states. The strength of Karnataka, the people of the state, and all the industrialists who have already put a shop in the state and the confidence in economic growth especially happening in Karnataka is the main reason to have such a large investor meeting immediately after such recovery of the COVID. In Karnataka, along with the recovery of COVID, the recovery of the economy is there to see. We are the largest FDI-attracted state,” he said.

The Chief Minister further said that the future of not only Karnataka, India and the world but the future of human development is happening in the state.

“We have to believe in ourselves, we have to believe in our capabilities and abilities during the tough times. Convert calamity into opportunity and that is what Karnataka is. We contained the COVID pandemic and at the same time it was time for Karnataka to think differently and we knew that the world and its economic scenario is going to change post-COVID and we have to be ready for it.”

“Instead of waiting for somebody else to do it, why not we do it ourselves. Let be the change and let be the leaders for the change. This is our strength, resolve and vision too. Hence we see that along with the recovery of the pandemic, the economy recovered much faster in Karnataka especially,” he said at the three-day meet at Palace Ground

He further said that Karnataka is one of the states with the highest GST collection and that it stands at second position.

“Karnataka is not only a place with a better ecosystem but we are a forward-looking policy state…It is not only good enough for the nation and state to be rich, it is very important that the people of the country and state also be benefitted, they should also be economically strong. That is possible only if we have a good employment policy,” Bommai said.

“We are not only part of the problem, my government and I are also part of the solutions…I want to assure every investor to be prosperous, make the state prosperous and more than anything else have a good experience of investment, and business doing… I welcome competitions as they keep us on heels,” he added.","Karnataka CM Basavaraj Bommai on Wednesday said that his government believes in converting calamity into an opportunity. ""We've to believe in ourselves...believe in our capabilities and abilities during the tough times,"" Bommai added while speaking at the Global Investors Meet 2022. ""Karnataka is not only a place with a better ecosystem but we are a forward-looking policy state,"" he stated.",https://www.timesnownews.com/india/karnataka-believes-in-converting-calamity-into-opportunity-basavaraj-bommai-at-investors-meet-article-95251878/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"Maruti Suzuki India (MSI) on Wednesday said it has crossed 2.5 crore cumulative production mark.

MSI started production in December 1983 and crossed the 10-lakh production mark in March 1994. It crossed 1- crore mark in March 2011 and 2-crore milestone in July 2018.

Its first production facility came up in Gurugram, Haryana.

The company now has two manufacturing plants in Gurugram and Manesar in Haryana, with an installed production capacity of 15 lakh units per annum.

The company sells 16 passenger vehicles in the domestic market and also exports to around 100 countries.

""2022 marks 40 years of Suzuki's partnership with the people of India. Crossing 25 million cumulative production milestone this year is a testimony of Suzuki's continued commitment and partnership with the people of India,"" MSI Managing Director and CEO Hisashi Takeuchi said in a statement.

Going forward, the automaker will continue to introduce new products in the market, he added.

""Anticipating growing demand for passenger vehicles, we have also started work on setting up a new manufacturing facility in Kharkhoda, Haryana,"" Takeuchi stated.","Maruti Suzuki on Wednesday said it has crossed 2.5 crore cumulative production mark since starting operations in India in 1983. ""2022 marks 40 years of Suzuki's partnership with the people of India,"" said CEO Hisashi Takeuchi. The company has become the only Indian original equipment manufacturer (OEM) to have achieved this feat in passenger vehicle production.",https://www.moneycontrol.com/news/business/maruti-suzuki-india-crosses-2-5-crore-production-mark-9435201.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"Telangana: Couple pays Rs 8 lakh to contract killers to murder their only son in Khammam The victim Sai Ram's body was found dumped in Musi in Suryapet on October 19. Police have so far arrested six persons including parents of the deceased. One accused is still absconding. Nakshab Khan Updated Nov 2, 2022 | 01:36 PM IST

Representative image Photo : iStock

Hyderabad: In a horrific incident reported from Telangana, parents hired contract killers to get their only son murdered in Khammam district. The killers were hired for Rs 8 lakh.

Advertising Advertising

The family was reportedly fed up with the deceased as he was alcoholic and used to beat his parents. The accused have been identified as K Ram Singh, a govt school teacher and his wife Rani Bai.

The couple has been remanded to judicial custody along with four of the five killers on Monday. The victim identified as 26-year-old Sai Ram was strangled.

Ram's body was found dumped in Musi in Suryapet on October 19. One accused in the case is still absconding.

Related News Telangana shocker: Farmer hacks minor daughter to death with axe for talking to boys

The police managed to get to couple as their family car was caught on CCTV. Also, the parents of Ram did not file any missing complaint. The couple later used the car to go to the mortuary to identify their son's body.

The couple's daughter is settled in the US. According to police, the deceased used to allegedly thrash his parents when they refused money for alcohol.

Sai Ram was also sent to rehabilitation centre in Hyderabad but to no avail. Huzurabad circle inspector Rama Linga Reddy said the couple paid Rs 1.5 lakh in advance and the rest Rs 6.5 lakh after the murder.

Police said the couple took the help of Rani Bai's brother Satyanarayana to bump off Sai Ram.

The deceased was taken to a temple in Kallepalli by Satyanarayana and others where they had a liquor. When Sai Ram got drunk, he was strangled by the accused.","A couple in Telangana's Khammam district reportedly hired contract killers for ₹8 lakh to get their only son killed. They were allegedly fed up with him as he was an alcoholic and used to beat them. The 26-year-old man was strangled to death and his body was found dumped in Suryapet. Police have arrested the couple.
",https://www.timesnownews.com/mirror-now/crime/telangana-shocker-parents-hire-contract-killers-to-murder-their-only-son-in-khammam-article-95250018/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"A contract driver of the staff of Kerala Water Resources Minister Roshy Augustine was arrested on Wednesday for allegedly assaulting a woman recently when she was out for a morning walk near the Museum area here, police said.

An officer of Museum police station said that the accused driver has also been arrested for trespassing into a house here recently.

In view of the police recording the contract driver’s arrest for the two offences, the minister ordered his immediate removal from being driver of his private secretary, according to a statement issued by his office.

He also instructed the water authority to conduct an inquiry against the accused driver and take appropriate action, it said.

Advertisement

According to police, the accused allegedly used the vehicle allotted by the water authority to the minister’s private secretary for carrying out the offences.

However, while being taken for evidence collection, the accused told reporters here that he was being falsely implicated in the case and denied having committed either of the two offences.

“I did not do anything. I have not done anything. I am being falsely implicated. Lot of evidence is being foisted upon me. My wife is being intimidated to admit certain things,"" he claimed.

Meanwhile, both the Congress and the BJP slammed the ruling Left government over the issue.

Senior Congress leader Ramesh Chennithala alleged women were not safe in Kerala under the LDF rule.

He said removal of the driver from the service will not end the responsibility of the minister and the government for the accused’ actions.

BJP state president K Surendran told media in Kottayam that two incidents indicated failure of the police.

Advertisement

He also said that the government and the minister cannot avoid responsibility for the accused’ actions.

Read all the Latest India News here","A contract driver of Kerala Water Resources Minister Roshy Augustine's private secretary was arrested for allegedly assaulting a woman when she was out for a morning walk near Thiruvananthapuram's Museum area, police said. The driver has also been arrested for trespassing into a house recently, an officer of Museum police station said.",https://www.news18.com/amp/news/india/driver-of-kerala-ministers-pvt-secy-arrested-for-assaulting-woman-6292363.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"Delhi environment minister Gopal Rai on Wednesday appealed to people in the national capital to work from home and use shared transport to reduce vehicular pollution as the city's air quality index remained in the “very poor” category.

{{^userSubscribed}} {{/userSubscribed}}

{{^userSubscribed}} {{/userSubscribed}}

“I appeal to people if possible work from home and avoid taking out private vehicles. 50 per cent of the pollution is from vehicles. People shouldn't burst crackers,” Rai said.

Rai also said the BJP should stop abusing farmers for stubble burning, alleging the party hates farmers because of their anti-farm law protests.

“Farmers are forced to burn stubble in Punjab because the BJP-led Centre did not support the state government's plan to provide a cash incentive to them for not burning the crop residue,” Rai said.

“The BJP is now seeking registration of FIR against farmers. Do not seek revenge, start supporting them,” the minister added.

Rai said the air pollution problem cannot be resolved through politics. The Commission for Air Quality Management (CAQM) has come up with a plan, which will have to be implemented in Uttar Pradesh and Haryana too - in Ghaziabad, Noida, Greater Noida, Gurugram and Bahadurgarh.

{{^userSubscribed}} {{/userSubscribed}}

{{^userSubscribed}} {{/userSubscribed}}

""According to a study conducted by the Centre for Science and Environment (CSE), 69 per cent of the air pollution in Delhi comes from outside,"" the minister claimed.

SHARE THIS ARTICLE ON","Delhi Environment Minister Gopal Rai on Wednesday appealed to people to work from home amid worsening air quality in the national capital. Rai further appealed to people to adopt the practice of carpooling and avoid taking out private vehicles, saying, ""50% of the pollution is from vehicles."" Notably, Delhi's overall air quality on Wednesday morning was recorded as 'very poor'.",https://www.hindustantimes.com/cities/delhi-news/work-from-home-use-shared-transport-delhi-govt-s-appeal-amid-very-poor-aqi-101667369923489-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"Karnataka HC orders NHAI to inspect potholes repair work done by BBMP in Bengaluru Karnataka High Court directed the Chief Engineer, National Highways Authority of India to inspect the repair work of potholes done by BBMP in Bengaluru city. Saumya Mishra Updated Nov 2, 2022 | 03:29 PM IST

BBMP (File photo) Photo : PTI

Bengaluru: The Chief Engineer of the National Highways Authority of : The Chief Engineer of the National Highways Authority of India has been ordered by the Karnataka High Court to inspect the BBMP's repair of potholes in Bengaluru city. HC has harshly criticised BBMP for the number of fatalities caused by potholes.

Advertising Advertising

It was during the time of a continuous petition. The following hearing will take place on December 7.

The division bench of Chief Justice Prasanna B Varale and Justice Ashok S Kinagi heard the petition",The Karnataka HC has ordered the National Highways Authority of India (NHAI) to inspect repair work done on potholes in Bengaluru. The court also criticised the Bruhat Bengaluru Mahanagara Palike (BBMP) for the number of fatalities caused by potholes. A 22-year-old biker died after being hit by a car that overturned due to a pothole in the city last month.,https://www.timesnownews.com/bengaluru/breaking-news-karnataka-hc-orders-nhai-to-inspect-potholes-repair-work-done-by-bbmp-in-bengaluru-article-95252466/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"PUNE: Three persons who pretended to be police officials looted an IT engineer on Pimplagaon road by demanding money under various traffic violations. They robbed the complainant’s mobile phone and hit his leg with an iron rod when he tried to resist.

{{^userSubscribed}} {{/userSubscribed}}

{{^userSubscribed}} {{/userSubscribed}}

Two accused, identified as Shankar Lokhande (32) and Datta Lokhande (26), were arrested on Monday and search is on for the third.

According to the police, the incident took place on the Golegaon–Pimplagaon road at 2:30 am on Monday.

The complainant, Vishal Vishnu Deokar, 38, working at a multinational software company in Hinjewadi IT Park, was driving his car on the stretch after dropping his relative at Wagholi when the trio stopped him.

Posing as police officers, the trio asked him for vehicle documents and driving licence. Accused asked the complainant to sit in their car as they want to bring the victim to police station for inquiry.

An officer from Alandi police station said, “When the victim sat in their car, the accused started beating and thrashing him. When one of the accused tried to grab his mobile, the victim resisted and one of the accused hit hard on his right leg and left hand with an iron rod. The accused fled with mobile phone worth ₹68,000.”

{{^userSubscribed}} {{/userSubscribed}}

{{^userSubscribed}} {{/userSubscribed}}

The victim sustained three fractures.

A case has been registered at Alandi police station under Sections 394 (voluntarily causing hurt in committing robbery), 397 (robber or dacoit, with attempt to cause death or grievous hurt), 170 (personating a public servant) and 34 of the Indian Penal Code (IPC).",Three people posing as policemen robbed an IT engineer on Pimpalgaon road in Pune district after stopping his car and accusing him of violating traffic rules on Monday. The accused made the victim sit in their car on the pretext of taking him to police station. They robbed his phone and assaulted him with an iron rod when he resisted.,https://www.hindustantimes.com/cities/pune-news/trio-posing-as-cops-loot-it-professional-2-held-in-pune-101667329447857-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
